,country,lon,lat
227,Burundi,29.87512156,-3.35939666
923,Madagascar,46.70473674,-19.37189587
1125,New Zealand,171.4849235,-41.81113557
1,Bosnia and Herzegovina,17.76876733,44.17450125
2,Montenegro,19.23883939,42.78890259
3,Serbia,20.78958334,44.2215032
4,France,-2.76172945,42.17344011
5,Spain,-3.64755047,40.24448698
6,United Arab Emirates,54.3001671,23.90528188
7,Montserrat,-62.18518546,16.73941406
8,Saudi Arabia,44.53686271,24.12245841
9,Chile,-71.38256213,-37.73070989
10,Paraguay,-58.40013703,-23.22823913
11,Russian Federation,96.68656112,61.98052209
12,Bahrain,50.54196932,26.04205135
13,Brunei Darussalam,114.7220304,4.51968958
14,"China, Hong Kong SAR",114.1138045,22.39827737
15,"China, Taiwan Province of",120.9542728,23.7539928
16,Fiji,165.4519543,-17.42858032
17,Indonesia,117.2401137,-2.21505456
18,Kuwait,47.58700459,29.33431262
19,Malaysia,109.6976228,3.78986846
20,Maldives,73.45713004,3.7287092
21,Mauritius,57.57120551,-20.27768704
22,Nauru,166.9325682,-0.51912639
23,New Caledonia,165.6849237,-21.29991806
24,Norfolk Island,167.9492168,-29.0514609
25,Oman,56.09166155,20.60515333
26,Papua New Guinea,145.2074475,-6.46416646
27,Philippines,122.8839325,11.77536778
28,Qatar,51.18479632,25.30601188
29,Republic of Korea,127.8391609,36.38523983
31,Seychelles,55.47603279,-4.66099094
32,Singapore,103.8172559,1.35876087
33,Solomon Islands,159.6328767,-8.92178022
34,Sri Lanka,80.70108238,7.61266509
35,Thailand,101.0028813,15.11815794
36,Timor-Leste,125.56,-8.55
37,Tonga,-174.8098734,-20.42843174
38,Tuvalu,179.2,-8.5
40,Vanuatu,167.6864464,-16.22640909
41,Viet Nam,106.299147,16.6460167
42,Armenia,44.92993276,40.28952569
44,Bulgaria,25.21552909,42.76890318
46,Croatia,16.40412899,45.08047631
47,Czechia,15.31240163,49.73341233
48,Egypt,29.86190099,26.49593311
50,Germany,10.38578051,51.10698181
51,Greece,22.95555794,39.07469623
52,Hungary,19.39559116,47.16277506
53,Italy,12.07001339,42.79662641
54,Netherlands,5.28144793,52.1007899
55,Poland,19.39012835,52.12759564
56,Republic of Moldova,28.45673372,47.19498804
57,Romania,24.97293039,45.85243127
59,Slovakia,19.47905218,48.70547528
60,Slovenia,14.80444238,46.11554772
62,Switzerland,8.20867471,46.79785878
63,Turkey,35.16895346,39.0616029
64,United Kingdom of Great Britain and Northern Ireland,-2.86563164,54.12387156
65,Belarus,28.03209307,53.53131377
66,Georgia,43.50780252,42.16855755
67,Iran (Islamic Republic of),54.27407004,32.57503292
68,Kazakhstan,67.29149357,48.15688067
71,Ukraine,31.38326469,48.99656673
75,United States of America,-112.4616737,45.6795472
76,Guyana,-58.98202459,4.79378034
77,Azerbaijan,47.54599879,40.28827235
80,Lithuania,23.88719355,55.32610984
82,North Macedonia,21.68211346,41.59530893
85,Senegal,-14.4734924,14.36624173
88,Uzbekistan,63.14001528,41.75554225
89,Angola,17.53736768,-12.29336054
91,Austria,14.1264761,47.58549439
93,Belize,-88.71010486,17.20027509
94,Benin,2.32785254,9.6417597
97,Burkina Faso,-1.75456601,12.26953846
98,Cameroon,12.73964156,5.69109849
99,Canada,-98.30777028,61.36206324
101,"China, mainland",103.8190735,36.56176546
102,C̫te d'Ivoire,-5.17,6.49
104,Cyprus,33.0060022,34.91667211
106,Democratic Republic of the Congo,23.64396107,-2.87746289
107,Denmark,10.02800992,55.98125296
109,Estonia,25.54248537,58.67192972
111,Gabon,11.7886287,-0.58660025
112,Gambia,-15.39601295,13.44965244
114,Ghana,-1.21676566,7.95345644
116,Guinea,-10.94066612,10.43621593
118,Iceland,-18.57396167,64.99575386
119,Iraq,43.74353149,33.03970582
120,Ireland,-8.13793569,53.1754487
121,Israel,35.00444693,31.46110101
123,Jordan,36.77136104,31.24579091
125,Lebanon,35.88016072,33.92306631
127,Luxembourg,6.07182201,49.76725361
129,Mali,-3.54269065,17.34581581
130,Mauritania,-10.34779815,20.25736706
132,Morocco,-8.45615795,29.83762955
134,Norway,15.34834656,68.75015572
136,Portugal,-8.50104361,39.59550671
143,Sierra Leone,-11.79271247,8.56329593
146,South Africa,25.08390093,-29.00034095
148,Sweden,16.74558049,62.77966519
150,Tajikistan,71.01362631,38.5304539
151,Togo,0.96232845,8.52531356
152,Tunisia,9.55288359,34.11956246
157,Uruguay,-56.01807053,-32.79951534
165,Namibia,17.20963567,-22.13032568
168,Antigua and Barbuda,-61.79469343,17.2774996
169,Argentina,-65.17980692,-35.3813488
170,Bahamas,-76.62843038,24.29036702
172,Barbados,-59.559797,13.18145428
173,Belgium,4.64065114,50.63981576
174,Bermuda,-64.7545589,32.31367802
175,Brazil,-53.09783113,-10.78777702
177,Cayman Islands,-80.91213321,19.42896497
186,Gibraltar,-5.35,36.1333
189,India,79.6119761,22.88578212
192,Jamaica,-77.31482593,18.15694878
