sovereignt,admin,adm0_a3,continent,region_un,subregion,region_wb,Longitude,Latitude
Djibouti,Djibouti,DJI,Africa,Africa,Eastern Africa,Middle East & North Africa,42.5606754,11.74871806
Dominica,Dominica,DMA,North America,Americas,Caribbean,Latin America & Caribbean,-61.357726,15.4394702
Denmark,Denmark,DNK,Europe,Europe,Northern Europe,Europe & Central Asia,10.02800992,55.98125296
Dominican Republic,Dominican Republic,DOM,North America,Americas,Caribbean,Latin America & Caribbean,-70.50568896,18.89433082
Algeria,Algeria,DZA,Africa,Africa,Northern Africa,Middle East & North Africa,2.61732301,28.15893849
Ecuador,Ecuador,ECU,South America,Americas,South America,Latin America & Caribbean,-78.75201922,-1.42381612
Egypt,Egypt,EGY,Africa,Africa,Northern Africa,Middle East & North Africa,29.86190099,26.49593311
Eritrea,Eritrea,ERI,Africa,Africa,Eastern Africa,Sub-Saharan Africa,38.84617011,15.36186618
Spain,Spain,ESP,Europe,Europe,Southern Europe,Europe & Central Asia,-3.64755047,40.24448698
Estonia,Estonia,EST,Europe,Europe,Northern Europe,Europe & Central Asia,25.54248537,58.67192972
Ethiopia,Ethiopia,ETH,Africa,Africa,Eastern Africa,Sub-Saharan Africa,39.60080098,8.62278679
Finland,Finland,FIN,Europe,Europe,Northern Europe,Europe & Central Asia,26.2746656,64.49884603
Fiji,Fiji,FJI,Oceania,Oceania,Melanesia,East Asia & Pacific,165.4519543,-17.42858032
United Kingdom,Falkland Islands (Malvinas),FLK,South America,Americas,South America,Latin America & Caribbean,-59.35238956,-51.74483954
France,France,FRA,Europe,Europe,Western Europe,Europe & Central Asia,-2.76172945,42.17344011
Denmark,Faroe Islands,FRO,Europe,Europe,Northern Europe,Europe & Central Asia,-6.88095423,62.05385403
Federated States of Micronesia,Federated States of Micronesia,FSM,Oceania,Oceania,Micronesia,East Asia & Pacific,153.2394379,7.45246814
Gabon,Gabon,GAB,Africa,Africa,Middle Africa,Sub-Saharan Africa,11.7886287,-0.58660025
United Kingdom,United Kingdom,GBR,Europe,Europe,Northern Europe,Europe & Central Asia,-2.86563164,54.12387156
Georgia,Georgia,GEO,Asia,Asia,Western Asia,Europe & Central Asia,43.50780252,42.16855755
United Kingdom,Guernsey,GGY,Europe,Europe,Northern Europe,Europe & Central Asia,-2.57239064,49.46809761
Ghana,Ghana,GHA,Africa,Africa,Western Africa,Sub-Saharan Africa,-1.21676566,7.95345644
Guinea,Guinea,GIN,Africa,Africa,Western Africa,Sub-Saharan Africa,-10.94066612,10.43621593
Gambia,Gambia,GMB,Africa,Africa,Western Africa,Sub-Saharan Africa,-15.39601295,13.44965244
Guinea Bissau,Guinea-Bissau,GNB,Africa,Africa,Western Africa,Sub-Saharan Africa,-14.94972445,12.04744948
Equatorial Guinea,Equatorial Guinea,GNQ,Africa,Africa,Middle Africa,Sub-Saharan Africa,10.34137924,1.70555135
Greece,Greece,GRC,Europe,Europe,Southern Europe,Europe & Central Asia,22.95555794,39.07469623
Grenada,Grenada,GRD,North America,Americas,Caribbean,Latin America & Caribbean,-61.68220189,12.11725044
Denmark,Greenland,GRL,North America,Americas,Northern America,Europe & Central Asia,-41.34191127,74.71051289
Guatemala,Guatemala,GTM,North America,Americas,Central America,Latin America & Caribbean,-90.36482009,15.69403664
United States of America,Guam,GUM,Oceania,Oceania,Micronesia,East Asia & Pacific,144.7679102,13.44165626
Guyana,Guyana,GUY,South America,Americas,South America,Latin America & Caribbean,-58.98202459,4.79378034
China,"China, Hong Kong SAR",HKG,Asia,Asia,Eastern Asia,East Asia & Pacific,114.1138045,22.39827737
Australia,Heard Island and McDonald Islands,HMD,Seven seas (open ocean),Seven seas (open ocean),Seven seas (open ocean),Sub-Saharan Africa,73.5205171,-53.08724656
Honduras,Honduras,HND,North America,Americas,Central America,Latin America & Caribbean,-86.6151661,14.82688165
Croatia,Croatia,HRV,Europe,Europe,Southern Europe,Europe & Central Asia,16.40412899,45.08047631
Haiti,Haiti,HTI,North America,Americas,Caribbean,Latin America & Caribbean,-72.68527509,18.93502563
Hungary,Hungary,HUN,Europe,Europe,Eastern Europe,Europe & Central Asia,19.39559116,47.16277506
Indonesia,Indonesia,IDN,Asia,Asia,South-Eastern Asia,East Asia & Pacific,117.2401137,-2.21505456
United Kingdom,Isle of Man,IMN,Europe,Europe,Northern Europe,Europe & Central Asia,-4.53873952,54.22418911
India,India,IND,Asia,Asia,Southern Asia,South Asia,79.6119761,22.88578212
Australia,Indian Ocean Territories,IOA,Asia,Seven seas (open ocean),Seven seas (open ocean),East Asia & Pacific,104.851898,-10.6478515
United Kingdom,British Indian Ocean Territory,IOT,Seven seas (open ocean),Seven seas (open ocean),Seven seas (open ocean),Sub-Saharan Africa,72.44541229,-7.33059751
Ireland,Ireland,IRL,Europe,Europe,Northern Europe,Europe & Central Asia,-8.13793569,53.1754487
Iran,Iran (Islamic Republic of),IRN,Asia,Asia,Southern Asia,Middle East & North Africa,54.27407004,32.57503292
Iraq,Iraq,IRQ,Asia,Asia,Western Asia,Middle East & North Africa,43.74353149,33.03970582
Iceland,Iceland,ISL,Europe,Europe,Northern Europe,Europe & Central Asia,-18.57396167,64.99575386
Israel,Israel,ISR,Asia,Asia,Western Asia,Middle East & North Africa,35.00444693,31.46110101
Italy,Italy,ITA,Europe,Europe,Southern Europe,Europe & Central Asia,12.07001339,42.79662641
Jamaica,Jamaica,JAM,North America,Americas,Caribbean,Latin America & Caribbean,-77.31482593,18.15694878
United Kingdom,Jersey,JEY,Europe,Europe,Northern Europe,Europe & Central Asia,-2.12689938,49.21837377
Jordan,Jordan,JOR,Asia,Asia,Western Asia,Middle East & North Africa,36.77136104,31.24579091
Japan,Japan,JPN,Asia,Asia,Eastern Asia,East Asia & Pacific,138.0308956,37.59230135
Kashmir,Siachen Glacier,KAS,Asia,Asia,Southern Asia,South Asia,77.18011865,35.39236325
Kazakhstan,Kazakhstan,KAZ,Asia,Asia,Central Asia,Europe & Central Asia,67.29149357,48.15688067
Kenya,Kenya,KEN,Africa,Africa,Eastern Africa,Sub-Saharan Africa,37.79593973,0.59988022
Kyrgyzstan,Kyrgyzstan,KGZ,Asia,Asia,Central Asia,Europe & Central Asia,74.54165513,41.46221943
Cambodia,Cambodia,KHM,Asia,Asia,South-Eastern Asia,East Asia & Pacific,104.9069433,12.72004786
Kiribati,Kiribati,KIR,Oceania,Oceania,Micronesia,East Asia & Pacific,-45.61110513,0.86001503
Saint Kitts and Nevis,Saint Kitts and Nevis,KNA,North America,Americas,Caribbean,Latin America & Caribbean,-62.68755265,17.2645995
South Korea,Republic of Korea,KOR,Asia,Asia,Eastern Asia,East Asia & Pacific,127.8391609,36.38523983
Kosovo,Kosovo,KOS,Europe,Europe,Southern Europe,Europe & Central Asia,20.87249811,42.57078707
Kuwait,Kuwait,KWT,Asia,Asia,Western Asia,Middle East & North Africa,47.58700459,29.33431262
Laos,Lao People's Democratic Republic,LAO,Asia,Asia,South-Eastern Asia,East Asia & Pacific,103.7377241,18.50217433
Lebanon,Lebanon,LBN,Asia,Asia,Western Asia,Middle East & North Africa,35.88016072,33.92306631
Liberia,Liberia,LBR,Africa,Africa,Western Africa,Sub-Saharan Africa,-9.32207573,6.45278492
Libya,Libya,LBY,Africa,Africa,Northern Africa,Middle East & North Africa,18.00866169,27.03094495
Saint Lucia,Saint Lucia,LCA,North America,Americas,Caribbean,Latin America & Caribbean,-60.96969923,13.89479481
Liechtenstein,Liechtenstein,LIE,Europe,Europe,Western Europe,Europe & Central Asia,9.53574312,47.13665835
Sri Lanka,Sri Lanka,LKA,Asia,Asia,Southern Asia,South Asia,80.70108238,7.61266509
Lesotho,Lesotho,LSO,Africa,Africa,Southern Africa,Sub-Saharan Africa,28.22723131,-29.58003188
Lithuania,Lithuania,LTU,Europe,Europe,Northern Europe,Europe & Central Asia,23.88719355,55.32610984
Luxembourg,Luxembourg,LUX,Europe,Europe,Western Europe,Europe & Central Asia,6.07182201,49.76725361
Latvia,Latvia,LVA,Europe,Europe,Northern Europe,Europe & Central Asia,24.91235983,56.85085163
China,"China, Macao SAR",MAC,Asia,Asia,Eastern Asia,East Asia & Pacific,113.5093212,22.22311688
France,Saint Martin,MAF,North America,Americas,Caribbean,Latin America & Caribbean,-63.05972851,18.08888611
Morocco,Morocco,MAR,Africa,Africa,Northern Africa,Middle East & North Africa,-8.45615795,29.83762955
Monaco,Monaco,MCO,Europe,Europe,Western Europe,Europe & Central Asia,7.40627677,43.75274627
Moldova,Republic of Moldova,MDA,Europe,Europe,Eastern Europe,Europe & Central Asia,28.45673372,47.19498804
Madagascar,Madagascar,MDG,Africa,Africa,Eastern Africa,Sub-Saharan Africa,46.70473674,-19.37189587
Maldives,Maldives,MDV,Seven seas (open ocean),Asia,Southern Asia,South Asia,73.45713004,3.7287092
Mexico,Mexico,MEX,North America,Americas,Central America,Latin America & Caribbean,-102.5234517,23.94753724
Marshall Islands,Marshall Islands,MHL,Oceania,Oceania,Micronesia,East Asia & Pacific,170.3397612,7.00376358
Macedonia,North Macedonia,MKD,Europe,Europe,Southern Europe,Europe & Central Asia,21.68211346,41.59530893
Mali,Mali,MLI,Africa,Africa,Western Africa,Sub-Saharan Africa,-3.54269065,17.34581581
Malta,Malta,MLT,Europe,Europe,Southern Europe,Middle East & North Africa,14.40523316,35.92149632
Myanmar,Myanmar,MMR,Asia,Asia,South-Eastern Asia,East Asia & Pacific,96.48843321,21.18566599
Montenegro,Montenegro,MNE,Europe,Europe,Southern Europe,Europe & Central Asia,19.23883939,42.78890259
Mongolia,Mongolia,MNG,Asia,Asia,Eastern Asia,East Asia & Pacific,103.0529977,46.82681544
United States of America,Northern Mariana Islands,MNP,Oceania,Oceania,Micronesia,East Asia & Pacific,145.6196965,15.82927563
Mozambique,Mozambique,MOZ,Africa,Africa,Eastern Africa,Sub-Saharan Africa,35.53367543,-17.27381643
Mauritania,Mauritania,MRT,Africa,Africa,Western Africa,Sub-Saharan Africa,-10.34779815,20.25736706
United Kingdom,Montserrat,MSR,North America,Americas,Caribbean,Latin America & Caribbean,-62.18518546,16.73941406
Mauritius,Mauritius,MUS,Seven seas (open ocean),Africa,Eastern Africa,Sub-Saharan Africa,57.57120551,-20.27768704
Malawi,Malawi,MWI,Africa,Africa,Eastern Africa,Sub-Saharan Africa,34.28935599,-13.21808088
Malaysia,Malaysia,MYS,Asia,Asia,South-Eastern Asia,East Asia & Pacific,109.6976228,3.78986846
Namibia,Namibia,NAM,Africa,Africa,Southern Africa,Sub-Saharan Africa,17.20963567,-22.13032568
France,New Caledonia,NCL,Oceania,Oceania,Melanesia,East Asia & Pacific,165.6849237,-21.29991806
